Entity,Type,Abilities
8-Bit Shooter,Vehicle,Flying Ability
8-Legged Stalker,Vehicle,"Dig Ability, Super Strength Ability"
Abby Yates,Character,"Character Changing Ability, Charge Transfer Ability, Ghost Puzzles Ability, Ghost Trap Ability, Hazard Protection Ability, Intelligence Ability, Laser Ability, Melt Ice Ability, P.K.E. Meter Ability"
ACU Trooper,Character,"Electricity Ability, Illumination Ability"
Aerial Spyhunter,Vehicle,"Flying Ability, Laser Ability"
Aerial Squad Car,Vehicle,Flying Ability
Ancient Psychic Tandem War Elephant,Vehicle,Laser Ability
Andy,Character,"Acrobat Ability, Character Changing Ability, Sonar Smash Ability"
Anti-Gravity Rocket Bike,Vehicle,Flying Ability
Aqua Watercraft,Vehicle,Dive Ability
Aquaman,Character,"Atlantis Elemental Ability, Dive Ability, Growth Ability, Hazard Cleaner Ability, Water Spray Ability"
Arrow Launcher,Vehicle,Target Ability
Axe Chariot,Vehicle,Tow Bar Ability
B.A. Baracus,Character,"A-Team Master Build, Character Changing Ability, Fix-It Ability, Laser Deflector Ability, Silver LEGO Blowup Ability, Super Strength Ability, Target Ability"
Bad Cop,Character,"Laser Ability, Melt Ice Ability, Relic Detector Ability, Target Ability"
Bane,Character,"Big Transform Ability, Hazard Protection Ability, Super Strength Ability"
Bane Dig 'n' Drill,Vehicle,Dig Ability
Bane Drill 'n' Blast,Vehicle,"Dig Ability, Silver LEGO Blowup Ability, Special Attack Ability"
Bart Simpson,Character,"Mini Access Ability, Target Ability"
Bat-Raptor,Vehicle,"Super Jump Ability, Super Strength Ability"
Bat-Tank,Vehicle,Silver LEGO Blowup Ability
Batblaster,Vehicle,Sonar Smash Ability
Batgirl,Character,"Boomerang Ability, Detective Mode Ability, Glide Ability, Grapple Ability, High Security Access Ability, Rope Swing Ability, Stealth Ability, Master Build Ability"
Batman,Character,"Boomerang Ability, Grapple Ability, Stealth Ability"
Batman (The LEGO Batman Movie),Character,"Boomerang Ability, Detective Mode Ability, Glide Ability, Grapple Ability, Rope Swing Ability, Stealth Ability, Master Build Ability"
Battle Monkey,Vehicle,"Flying Ability, Silver LEGO Blowup Ability"
Batwing,Vehicle,Flying Ability
Beast Boy,Character,"Atlantis Elemental Ability, Dig Ability, Dive Ability, Drone Mazes Ability, Flying Ability, Mini Access Ability, Shape Shift Ability, Slurp Access Ability, Tracking Ability"
Beetlejuice,Character,"Illumination Ability, Super Strength Ability"
Benny,Character,"Glide Ability, Hacking Ability, Sonar Smash Ability, Target Ability, Technology Ability, Master Build Ability"
Benny's Spaceship,Vehicle,Flying Ability
Betelgeuse,Character,"Apparate Access Ability, Magic Ability, Mind Control Ability, Mini Access Ability, Slurp Access Ability"
Bionic Steed,Vehicle,"Special Attack Ability, Super Jump Ability"
Blades of Fire,Vehicle,"Flying Ability, Laser Ability, Special Attack Ability"
Blast Cam,Gadget,Silver LEGO Blowup Ability
Blossom,Character,"Dive Ability, Flying Ability, Freeze Breath Ability, Heart Regen Ability, Intelligence Ability, Laser Ability, LEGO Constructs Ability, Super Strength Ability, X-Ray Vision Ability"
Blue Typhoon,Vehicle,"Cursed Red LEGO Objects Ability, Flying Ability, Sonar Smash Ability"
BMO,Vehicle,BMO Docking Stations Ability
BMX Bike,Vehicle,Flying Ability
Boulder Blaster,Vehicle,"Flying Ability, Silver LEGO Blowup Ability"
Boulder Bomber,Vehicle,Flying Ability
Brand,Character,"Acrobat Ability, Character Changing Ability, Dive Ability"
Bubbles,Character,"Atlantis Elemental Ability, Dive Ability, Flying Ability, Heart Regen Ability, Laser Ability, LEGO Constructs Ability, Rainbow LEGO Objects Ability, Sonar Smash Ability, Super Strength Ability"
Buckbeak,Vehicle,"Flying Ability, Silver LEGO Blowup Ability"
Buttercup,Character,"Dive Ability, Flying Ability, Gyrosphere Switches Ability, Heart Regen Ability, LEGO Constructs Ability, Super Strength Ability"
Chase McCain,Character,"Acrobat Ability, Flying Ability, Glide Ability, Grapple Ability, Growth Ability, Hacking Ability, Hazard Cleaner Ability, Illumination Ability, Relic Detector Ability, Rope Swing Ability, Silver LEGO Blowup Ability, Super Strength Ability, Target Ability, Tracking Ability, Uniform Changing Ability, Water Spray Ability"
Chell,Character,"Acrobat Ability, Portal Gun Ability"
Chunk,Character,"Character Changing Ability, Mini Access Ability, Target Ability, Truffle Shuffle Ability, Vine Cut Ability"
Cloud Cuckoo Car,Vehicle,Flying Ability
Cole,Character,"Acrobat Ability, Laser Deflector Ability, Stealth Ability, Super Strength Ability"
Commander Monkey,Vehicle,"Flying Ability, Silver LEGO Blowup Ability, Sonar Smash Ability"
Cosmic Squid,Vehicle,"Flying Ability, Silver LEGO Blowup Ability, Water Spray Ability"
Crabmeat,Vehicle,"Guardian Ability, Laser Ability, Super Jump Ability"
Cragger,Character,"Chi Ability, Dive Ability, Hazard Protection Ability, Super Strength Ability"
Cragger's Fireship,Vehicle,"Special Attack Ability, Speed Ability"
Crawling Creeper,Vehicle,"Dig Ability, Electricity Ability"
Croc Command Sub,Vehicle,"Dive Ability, Silver LEGO Blowup Ability"
Cyber-Guard,Vehicle,Super Strength Ability
Cyber-Wrecker,Vehicle,"Dig Ability, Silver LEGO Blowup Ability, Super Strength Ability"
Cyberman,Character,"Dive Ability, Drone Mazes Ability, Hacking Ability, Mind Control Ability, Silver LEGO Blowup Ability, Technology Ability, X-Ray Vision Ability"
Cyborg,Character,"Big Transform Ability, Character Changing Ability, Dive Ability, Laser Ability, Melt Ice Ability, Super Strength Ability, Target Ability, Technology Ability"
Cyborg (Teen Titans Go!),Character,"Character Changing Ability, Dive Ability, Fix-It Ability, Flying Ability, Laser Ability, Melt Ice Ability, Super Strength Ability, Target Ability, Technology Ability"
Cyclone Board,Vehicle,Special Attack Ability
Cyclone Jet,Vehicle,"Flying Ability, Special Attack Ability"
Dalek,Vehicle,Target Ability
Data,Character,"Character Changing Ability, Fix-It Ability, Grapple Ability, Illumination Ability, Intelligence Ability, Mini Access Ability, Rope Swing Ability, Technology Ability, Tracking Ability, X-Ray Vision Ability"
Destroy Dozer,Vehicle,Dig Ability
Destruct-o-Mech,Vehicle,Super Strength Ability
Doc Brown,Character,"Drone Mazes Ability, Fix-It Ability, Hacking Ability, Intelligence Ability, Technology Ability"
DOGMO,Vehicle,"BMO Docking Stations Ability, Dig Ability"
Drill Driver,Vehicle,Dig Ability
E.T.,Character,"Fix-It Ability, Growth Ability, Heart Regen Ability, Illumination Ability, Magic Ability, Mini Access Ability, Stealth Ability"
E.T.'s Spaceship,Vehicle,Flying Ability
Eagle Interceptor,Vehicle,Flying Ability
Eagle Sky Blazer,Vehicle,"Flying Ability, Silver LEGO Blowup Ability, Speed Ability"
Eagle Swoop Diver,Vehicle,"Flying Ability, Laser Ability, Silver LEGO Blowup Ability"
Ecto-1 (2016),Vehicle,Silver LEGO Blowup Ability
Ecto-1 Blaster,Vehicle,"Growth Ability, Hazard Cleaner Ability, Water Spray Ability"
Ecto-1 Water Diver,Vehicle,"Dive Ability, Silver LEGO Blowup Ability"
Ectozer,Vehicle,Special Attack Ability
Eggcatcher,Vehicle,"Electricity Ability, Flying Ability"
Egon Spengler,Character,"Character Changing Ability, Ghost Puzzles Ability, Hazard Protection Ability, Laser Ability"
Electric Time Machine,Vehicle,Electricity Ability
Electro-Shooter,Vehicle,"Electricity Ability, Flying Ability, Laser Ability"
Emmet,Character,"Fix-It Ability, Master Build Ability"
Emmet's Excavator,Vehicle,Dig Ability
Enchanted Car,Vehicle,"Flying Ability, Stealth Ability"
Energy-Burst TARDIS,Vehicle,Flying Ability
Erin Gilbert,Character,"Character Changing Ability, Ghost Puzzles Ability, Ghost Trap Ability, Hazard Protection Ability, Intelligence Ability, Laser Ability, Melt Ice Ability, Silver LEGO Blowup Ability, Technology Ability"
Eris,Character,"Chi Ability, Flying Ability, Super Strength Ability, Target Ability"
Ethan Hunt,Character,"Acrobat Ability, Dive Ability, Drone Mazes Ability, Fuse Box Ability, Grapple Ability, Magno Gloves Ability, Rope Swing Ability, Scan Disguise Ability, Silver LEGO Blowup Ability, Stealth Ability, Target Ability, Technology Ability, X-Ray Vision Ability"
Excalibur Batman,Character,"Boomerang Ability, Grapple Ability, Laser Deflector Ability, Rope Swing Ability, Stealth Ability, Super Strength Ability, Sword Switch Ability, Master Build Ability"
Fanged Fortune,Vehicle,"Growth Ability, Hazard Cleaner Ability, Water Spray Ability"
Fern,Character,"Acrobat Ability, Character Changing Ability, Cursed Red LEGO Objects Ability, Grapple Ability, Laser Ability, Laser Deflector Ability, Melt Ice Ability, Pole Vault Ability, Rope Swing Ability, Sword Switch Ability, Target Ability, Vine Cut Ability"
Fierce Falcon,Vehicle,"Flying Ability, Sonar Smash Ability"
Finn the Human,Character,"Acrobat Ability, Character Changing Ability, Cursed Red LEGO Objects Ability, Grapple Ability, Laser Ability, Laser Deflector Ability, Melt Ice Ability, Pole Vault Ability, Rope Swing Ability, Sword Switch Ability, Target Ability, Vine Cut Ability"
Fire 'n' Ride Dalek,Vehicle,Laser Ability
Flash 'n' Finish,Vehicle,"Laser Ability, Sonar Smash Ability"
Flying Fire Bike,Vehicle,Flying Ability
Flying Time Train,Vehicle,Flying Ability
