World,Character,Build,Vehicle,Family
Adventure Time,Finn the Human,1,Ancient Psychic Tandem War Elephant,Ancient Psychic Tandem War Elephant
Adventure Time,Finn the Human,1,Jakemobile,Jakemobile
Adventure Time,Finn the Human,2,Cosmic Squid,Ancient Psychic Tandem War Elephant
Adventure Time,Finn the Human,2,Snail Dude Jake,Jakemobile
Adventure Time,Finn the Human,3,Hover Jake,Jakemobile
Adventure Time,Finn the Human,3,Phychic Submarine,Ancient Psychic Tandem War Elephant
Adventure Time,Jake the Dog,1,BMO,BMO
Adventure Time,Jake the Dog,2,Dogmo,BMO
Adventure Time,Jake the Dog,3,Snakemo,BMO
Adventure Time,Lumpy Space Princess,1,Lumpy Car,Lumpy Car
Adventure Time,Lumpy Space Princess,2,Lumpy Truck,Lumpy Car
Adventure Time,Lumpy Space Princess,3,Lumpy Land Whale,Lumpy Car
Adventure Time,Marceline the Vampire Queen,1,Lunatic Amp,Lunatic Amp
Adventure Time,Marceline the Vampire Queen,2,Shadow Scorpion,Lunatic Amp
Adventure Time,Marceline the Vampire Queen,3,Heavy Metal Monster,Lunatic Amp
Back to the Future,Doc Brown,1,Travelling Time Train,Travelling Time Train
Back to the Future,Doc Brown,2,Flyin Time Train,Travelling Time Train
Back to the Future,Doc Brown,3,Missile Blast Time Train,Travelling Time Train
Back to the Future,Marty McFly,1,DeLorean Time Machine,DeLorean Time Machine
Back to the Future,Marty McFly,1,Hoverboard,Hoverboard
Back to the Future,Marty McFly,2,Cyclone Board,Hoverboard
Back to the Future,Marty McFly,2,Electric Time Machine,DeLorean Time Machine
Back to the Future,Marty McFly,3,Ultimate Hoverjet,Hoverboard
Back to the Future,Marty McFly,3,Ultra Time Machine,DeLorean Time Machine
Beetlejuice,Beetle Juice,1,Saturns Sandworm,Saturns Sandworm
Beetlejuice,Beetle Juice,2,Haunted Vacuum,Saturns Sandworm
Beetlejuice,Beetle Juice,3,Spooky Spider,Saturns Sandworm
DC Comics,Aquaman,1,Aqua Watercraft,Aqua Watercraft
DC Comics,Aquaman,2,Seven Seas Speeder,Aqua Watercraft
DC Comics,Aquaman,3,Trident of Fire,Aqua Watercraft
DC Comics,Bane,1,Bane's Drill Diver,Bane's Drill Diver
DC Comics,Bane,2,Bane Dig 'n' Drill,Bane's Drill Diver
DC Comics,Bane,3,Bane Drill 'n' Blast,Bane's Drill Diver
DC Comics,Batman,1,Batmobile,Batmobile
DC Comics,Batman,2,The Batblaster,Batmobile
DC Comics,Batman,3,Sonic Batray,Batmobile
DC Comics,Cyborg,1,Cyber-Guard,Cyber-Guard
DC Comics,Cyborg,2,Cyber-Wrecker,Cyber-Guard
DC Comics,Cyborg,3,Laser Robot Walker,Cyber-Guard
DC Comics,Harley Quinn,1,Quinn Mobile,Quinn Mobile
DC Comics,Harley Quinn,2,Quinn Ultra Racer,Quinn Mobile
DC Comics,Harley Quinn,3,Missile Launcher,Quinn Mobile
DC Comics,Superman,1,Superman's Hover Pod,Superman's Hover Pod
DC Comics,Superman,2,Ktypton Striker,Superman's Hover Pod
DC Comics,Superman,3,Super Stealth Pod,Superman's Hover Pod
DC Comics,The Joker,1,The Joker's Chopper,The Joker's Chopper
DC Comics,The Joker,2,Mischievous Missile Blaster,The Joker's Chopper
DC Comics,The Joker,3,The Joker's Lock 'n' Laser Jet,The Joker's Chopper
DC Comics,Wonder Woman,1,Wonderwoman's Invisible Jet,Wonderwoman's Invisible Jet
DC Comics,Wonder Woman,2,Stealth Laser Shooter,Wonderwoman's Invisible Jet
DC Comics,Wonder Woman,3,Torpedo Bomber,Wonderwoman's Invisible Jet
Doctor Who,Cyberman,1,Dalek,Dalek
Doctor Who,Cyberman,2,Fire 'n' Ride Dalek,Dalek
Doctor Who,Cyberman,3,Silver Shooter Dalek,Dalek
Doctor Who,Twelfth Doctor,1,K-9,K-9
Doctor Who,Twelfth Doctor,1,TARDIS,TARDIS
Doctor Who,Twelfth Doctor,2,K-9 Ruff Rover,K-9
Doctor Who,Twelfth Doctor,2,Laser-Pulse TARDIS,TARDIS
Doctor Who,Twelfth Doctor,3,Energy-Burst TARDIS,TARDIS
Doctor Who,Twelfth Doctor,3,K-9 Laser Cutter,K-9
E.T. the Extra-Terrestrial,E.T.,1,Phone Home,Phone Home
E.T. the Extra-Terrestrial,E.T.,2,Mobile Uplink,Phone Home
E.T. the Extra-Terrestrial,E.T.,3,Super-Charged Satellite,Phone Home
Fantastic Beasts and Where to Find Them,Newt Scamander,1,Niffler,Niffler
Fantastic Beasts and Where to Find Them,Newt Scamander,2,Sinister Scorpion,Niffler
Fantastic Beasts and Where to Find Them,Newt Scamander,3,Vicious Vulture,Niffler
Fantastic Beasts and Where to Find Them,Tina Goldstein,1,Swooping Evil,Swooping Evil
Fantastic Beasts and Where to Find Them,Tina Goldstein,2,Brutal Bloom,Swooping Evil
Fantastic Beasts and Where to Find Them,Tina Goldstein,3,Crawling Creeper,Swooping Evil
Ghostbusters,Peter Venkman,1,Ecto-1,Ecto-1
Ghostbusters,Peter Venkman,1,Ghost Trap,Ghost Trap
Ghostbusters,Peter Venkman,2,Ecto-1 Blaster,Ecto-1
Ghostbusters,Peter Venkman,2,Ghost Stun 'm' Trap,Ghost Trap
Ghostbusters,Peter Venkman,3,Ecto-1 Water Diver,Ecto-1
Ghostbusters,Peter Venkman,3,Proton Zapper,Ghost Trap
Ghostbusters,Slimer,1,Slime Shooter,Slime Shooter
Ghostbusters,Slimer,2,Slime Exploder,Slime Shooter
Ghostbusters,Slimer,3,Slime Streamer,Slime Shooter
Ghostbusters,Stay Puft,1,Terror Dog,Terror Dog
Ghostbusters,Stay Puft,2,Terror Dog Destroyer,Terror Dog
Ghostbusters,Stay Puft,3,Soaring Terror Dog,Terror Dog
Ghostbusters 2016,Abby Yates,1,Ecto-1 (2016),Ecto-1 (2016)
Ghostbusters 2016,Abby Yates,2,Ectozer,Ecto-1 (2016)
Ghostbusters 2016,Abby Yates,3,The PerfEcto,Ecto-1 (2016)
Gremlins,Gizmo,1,R.C. Racer,R.C. Racer
Gremlins,Gizmo,2,Gadget-O-Matic,R.C. Racer
Gremlins,Gizmo,3,Scarlet Scorpion,R.C. Racer
Gremlins,Stripe,1,Flash 'n' Finish,Flash 'n' Finish
Gremlins,Stripe,2,Rampage Record Player,Flash 'n' Finish
Gremlins,Stripe,3,Stripe's Throne,Flash 'n' Finish
Harry Potter,Harry Potter,1,Enchanted Car,Enchanted Car
Harry Potter,Harry Potter,2,Piranha Sub,Enchanted Car
Harry Potter,Harry Potter,3,Monstrous Mouth,Enchanted Car
Harry Potter,Hermione Granger,1,Buckbeak,Buckbeak
Harry Potter,Hermione Granger,2,Giant Owl,Buckbeak
Harry Potter,Hermione Granger,3,Fierce Falcon,Buckbeak
Harry Potter,Lord Voldemort,1,Hogwarts Express,Hogwarts Express
Harry Potter,Lord Voldemort,2,Soaring Steam Plane,Hogwarts Express
Harry Potter,Lord Voldemort,3,Steam Warrior,Hogwarts Express
Jurassic World,ACU Trooper,1,Gyrosphere,Gyrosphere
Jurassic World,ACU Trooper,2,Sonic Beam Gyrosphere,Gyrosphere
Jurassic World,ACU Trooper,3,Speed Boost Gyrosphere,Gyrosphere
Jurassic World,Owen Grady,1,Velociraptor,Velociraptor
Jurassic World,Owen Grady,2,Venom Raptor,Velociraptor
Jurassic World,Owen Grady,3,Spike Attack Raptor,Velociraptor
Knight Rider,Michael Knight,1,K.I.T.T.,K.I.T.T.
Knight Rider,Michael Knight,2,Goliath Armored Semi,K.I.T.T.
Knight Rider,Michael Knight,3,K.I.T.T. Jet,K.I.T.T.
Legends of Chima,Cragger,1,Swamp Skimmer,Swamp Skimmer
Legends of Chima,Cragger,2,Cragger's Fireship,Swamp Skimmer
Legends of Chima,Cragger,3,Croc Command Sub,Swamp Skimmer
Legends of Chima,Eris,1,Eagle Interceptor,Eagle Interceptor
Legends of Chima,Eris,2,Eagle Skyblazer,Eagle Interceptor
Legends of Chima,Eris,3,Eagle Swoop Diver,Eagle Interceptor
Legends of Chima,Laval,1,Mighty Lion Rider,Mighty Lion Rider
Legends of Chima,Laval,2,Lion Blazer,Mighty Lion Rider
Legends of Chima,Laval,3,Fire Lion,Mighty Lion Rider
LEGO City Undercover,Chase McCain,1,Police Helicopter,Police Helicopter
LEGO City Undercover,Chase McCain,2,Police Hovercraft,Police Helicopter
LEGO City Undercover,Chase McCain,3,Police Plane,Police Helicopter
Lord of the Rings,Gimli,1,Axe Chariot,Axe Chariot
Lord of the Rings,Gimli,2,Axe Hurler,Axe Chariot
Lord of the Rings,Gimli,3,Soaring Chariot,Axe Chariot
Lord of the Rings,Gollum,1,Shelob the Great,Shelob the Great
Lord of the Rings,Gollum,2,6-Legged Stalker,Shelob the Great
Lord of the Rings,Gollum,3,Poison Slinger,Shelob the Great
Lord of the Rings,Legolas,1,Arrow Launcher,Arrow Launcher
Lord of the Rings,Legolas,2,Seeking Shooter,Arrow Launcher
Lord of the Rings,Legolas,3,Triple Ballista,Arrow Launcher
Midway Arcade,Gamer Kid,1,Arcade Machine,Arcade Machine
Midway Arcade,Gamer Kid,1,G-6155 Spy Hunter,G-6155 Spy Hunter
Midway Arcade,Gamer Kid,2,8-Bit Shooter,Arcade Machine
Midway Arcade,Gamer Kid,2,The Interdiver,G-6155 Spy Hunter
Midway Arcade,Gamer Kid,3,Aerial Spyhunter,G-6155 Spy Hunter
Midway Arcade,Gamer Kid,3,The Pixelator,Arcade Machine
Mission Impossible,Ethan Hunt,1,IMF Scrambler,IMF Scrambler
Mission Impossible,Ethan Hunt,1,IMF Sport Car,IMF Sport Car
Mission Impossible,Ethan Hunt,2,IMF Tank,IMF Sport Car
Mission Impossible,Ethan Hunt,2,ShockCycle,IMF Scrambler
Mission Impossible,Ethan Hunt,3,IMF Covert Jet,IMF Scrambler
Mission Impossible,Ethan Hunt,3,The IMF-Splorer,IMF Sport Car
Ninjago,Cole,1,Boulder Bomber,Boulder Bomber
Ninjago,Cole,2,Boulder Blaster,Boulder Bomber
Ninjago,Cole,3,Cyclone Jet,Boulder Bomber
Ninjago,Jay,1,Storm Fighter,Storm Fighter
Ninjago,Jay,2,Lightning Jet,Storm Fighter
Ninjago,Jay,3,Electro-Shooter,Storm Fighter
Ninjago,Kai,1,Blade Bike,Blade Bike
Ninjago,Kai,2,Flying Fire Bike,Blade Bike
Ninjago,Kai,3,Blades of Fire,Blade Bike
Ninjago,Lloyd,1,Lloyd's Golden Dragon,Lloyd's Golden Dragon
Ninjago,Lloyd,2,Sword Projector Dragon,Lloyd's Golden Dragon
Ninjago,Lloyd,3,Mega Flight Dragon,Lloyd's Golden Dragon
Ninjago,Nya,1,Samurai Mech,Samurai Mech
Ninjago,Nya,2,Samurai Shooter,Samurai Mech
Ninjago,Nya,3,Soaring Samurai Mech,Samurai Mech
Ninjago,Sensei Wu,1,Flying White Dragon,Flying White Dragon
Ninjago,Sensei Wu,2,Golden Fire Dragon,Flying White Dragon
Ninjago,Sensei Wu,3,Ultra Destruction Dragon,Flying White Dragon
Ninjago,Zane,1,NinjaCopter,NinjaCopter
Ninjago,Zane,2,Glaciator,NinjaCopter
Ninjago,Zane,3,Freeze Fighter,NinjaCopter
Portal 2,Chell,1,Companion Cube,Companion Cube
Portal 2,Chell,1,Sentry Turret,Sentry Turret
